CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check
08729464-bde6-43bc-8f63-a357096feab1,0.7450980392156864,Male,0.17142857142857143,DSL,Yes,No,0.5137976056119853,0.11469843268084864,No,No,True,False,False,False,True,False,False,False,False,True
af95bc95-baf4-4318-a21d-70d2ea3148b7,1.0,Male,0.17142857142857143,DSL,No,Yes,0.9465356613335105,0.19775230644512967,Yes,Yes,False,False,False,False,False,True,False,False,False,True
1fe7eee6-2227-4400-9998-4d993f4a60fd,0.5490196078431373,Male,0.8428571428571429,Fiber optic,No,Yes,1.0000000000000002,0.9999999999999999,Yes,Yes,False,False,False,True,False,False,False,False,False,True
f736fe7b-1b44-4acd-84c2-21c4aef648be,0.27450980392156865,Female,0.8,Fiber optic,Yes,Yes,0.5832835424550222,0.6803072496904978,No,Yes,False,True,False,True,False,False,True,False,False,False
4b40d12d-7633-4309-96b8-aee675ea20ae,0.823529411764706,Male,0.7285714285714286,Fiber optic,Yes,Yes,0.05406182920622277,0.21723495199785878,Yes,No,True,True,False,False,False,True,False,False,True,False
0fece405-89c9-44a4-9ffb-29e55a4bbf55,0.13725490196078433,Female,0.7428571428571429,Fiber optic,Yes,Yes,0.5740998915665316,0.6249519239574366,Yes,No,True,False,False,True,False,False,True,False,False,False
8f55fd3f-ddad-4da9-9531-e0934968f712,0.3921568627450981,Male,0.6,Fiber optic,Yes,No,0.6009869658545222,0.5172985392915815,Yes,No,False,False,False,False,False,True,False,False,False,True
b4db2101-be85-4048-8201-659b9f3345a9,0.7450980392156864,Male,0.5857142857142857,DSL,No,Yes,0.8129854610635332,0.6324577308364957,No,Yes,False,False,False,True,False,False,True,False,False,False
28177481-3920-402e-bb98-7ab632e9111f,0.3529411764705882,Female,0.35714285714285715,DSL,Yes,Yes,0.0,0.07150469900139994,No,No,True,True,False,True,False,False,False,False,True,False
a257f4af-3ca6-47c3-ae28-3e315a7b8b0f,0.43137254901960786,Male,0.3142857142857143,Unknown,Yes,Yes,0.4557082475823762,0.21191566120664196,No,Yes,False,False,False,False,False,True,False,False,False,True
af6d4c2c-f822-4452-9698-4c4d0f97296d,0.1960784313725491,Female,0.6,Fiber optic,Yes,Yes,0.9608090464493573,0.7412710454181644,Yes,No,True,True,False,True,False,False,False,False,True,False
e6ac1636-1be7-4c55-9fdc-1f7600aec1be,0.1960784313725491,Female,0.3857142857142857,Unknown,Yes,No,1.0000000000000002,0.5013374538156713,No,No,True,False,False,False,False,True,False,True,False,False
6c816236-6cf6-4bec-b897-68f8c1a4b599,0.4509803921568628,Male,0.11428571428571427,DSL,No,Yes,0.15154130429971902,0.019614704055609798,No,No,True,False,False,False,False,True,False,False,False,True
691ba5bc-0d3d-479d-89e3-13e7764480a5,0.6862745098039217,Female,0.2714285714285714,Unknown,Yes,Yes,0.903051627608489,0.3076082727101264,Yes,Yes,False,False,False,False,False,True,False,True,False,False
d4ddceb0-0996-4428-b87c-349538d8924b,0.7647058823529412,Male,0.7857142857142857,DSL,No,Yes,0.10163977959237874,0.27651668869248264,No,No,False,False,False,True,False,False,False,False,False,True
6dee6bf9-191d-44f5-9be0-ea333d0a78a5,0.4509803921568628,Male,0.5428571428571429,DSL,No,Yes,0.8705215871119079,0.6173449043571915,No,No,True,True,False,False,True,False,False,False,True,False
79ae2894-25ed-40a7-bb43-c8e4b588954e,0.03921568627450983,Female,0.7142857142857143,Unknown,Yes,Yes,0.24658655867578388,0.3570691623474539,Yes,Yes,True,False,False,False,False,True,False,False,False,True
44a0183a-79fa-496e-a5fe-7f6402f3ffae,0.4117647058823529,Male,0.15714285714285714,DSL,Yes,Yes,1.0000000000000002,0.18753142815647933,Yes,No,False,False,False,False,True,False,False,False,True,False
cedd9b62-f616-4b38-ba46-c5901a4b17d9,0.019607843137254943,Female,0.7714285714285715,Fiber optic,No,No,0.7093097877802119,0.7564304618802367,Yes,No,False,True,False,False,True,False,False,True,False,False
fbd12edb-2f9c-4ad3-94ec-da1d1332e2ce,0.4509803921568628,Male,0.14285714285714285,DSL,Yes,Yes,0.38135386930447673,0.07106611054292752,Yes,No,True,False,False,False,False,True,False,True,False,False
2c38d77b-aa10-4a11-b50a-bd7b8ca51475,0.8431372549019608,Male,0.35714285714285715,Fiber optic,Yes,Yes,0.25068047533691834,0.16617072433285554,No,No,True,False,False,False,True,False,True,False,False,False
70f91934-fdda-4b1e-878b-b0ac212bceaf,0.5686274509803921,Male,0.5857142857142857,Unknown,Yes,Yes,0.20000442585584993,0.25872734803070563,No,Yes,True,True,False,False,False,True,True,False,False,False
baa44ba7-05bc-4df9-b643-cc4bd7bdc496,0.7254901960784313,Male,0.3714285714285714,Fiber optic,Yes,Yes,0.6930447675319216,0.34485776720881334,Yes,No,True,False,False,True,False,False,False,False,False,True
cf0f3b20-e221-4964-abad-9a1a515c1770,0.019607843137254943,Male,0.14285714285714285,Fiber optic,No,Yes,0.9309345194627012,0.15506784947387056,No,No,False,True,True,True,False,False,False,True,False,False
ef5fcbe6-84ef-4e7a-91d9-6339c0c71fad,0.3921568627450981,Female,0.5285714285714286,DSL,Yes,No,0.7750337471508553,0.5464927864247714,No,Yes,False,False,False,True,False,False,False,False,True,False
b83a5822-4ce7-4ce4-8e23-66cda0ddfa9f,0.6274509803921569,Female,0.6,Fiber optic,Yes,No,0.8634402177521079,0.6790541398091481,Yes,Yes,False,False,False,True,False,False,True,False,False,False
5757e8b5-2194-4523-9651-4a928ae49f4b,0.21568627450980393,Female,0.2571428571428571,Fiber optic,No,Yes,0.8043550421562771,0.26272444724198546,No,Yes,False,True,False,False,True,False,False,False,True,False
6d81c585-d94f-426d-82da-f012e2aa5837,0.4117647058823529,Female,0.9,DSL,No,Yes,1.0000000000000002,0.9999999999999999,No,Yes,False,False,False,True,False,False,False,True,False,False
