Age,Tenure,MonthlyCharges,TotalCharges,OnlineSecurity,TechSupport,TotalServiceUsage,ContractLength
0.7058823529411765,0.7571428571428571,0.624886587443847,0.6751180895408058,1,1,3,1
0.0980392156862745,0.2428571428571428,0.0973245701387506,0.0631265348587857,0,0,1,1
0.3137254901960784,0.6285714285714286,0.9542809090707915,0.7715754193821396,0,0,4,24
0.9803921568627452,0.0857142857142857,0.411892274668614,0.0361412955292573,0,0,2,24
0.5030496196232563,0.3571428571428571,0.404921551705061,0.2239294505563004,0,0,3,24
0.7843137254901961,0.6142857142857143,0.5213215605567727,0.474376312753092,1,0,3,1
0.4117647058823529,0.9857142857142858,0.2465865586757838,0.5018081732967424,1,0,2,1
0.6274509803921569,0.4714285714285714,0.4634534953196574,0.3319571616354305,0,1,3,1
0.7254901960784313,0.0142857142857142,0.9342539113501074,0.0012325460268865,1,1,0,1
1.0,0.8428571428571429,0.7321029454070682,0.8470977814492825,1,1,2,1
0.5294117647058824,0.7000000000000001,1.0000000000000002,0.4013874818178575,0,1,1,12
0.4509803921568628,0.0428571428571428,0.248356901015734,0.0,1,1,2,24
0.1568627450980392,0.0,0.4360131890504325,0.0,1,0,2,1
0.7647058823529412,0.1285714285714285,0.0,0.0040729284246127,0,0,2,1
0.2352941176470588,0.1714285714285714,0.0,0.0072201620881566,1,0,1,1
0.2156862745098039,0.6857142857142857,0.0,0.1512844215628722,0,1,2,1
0.5686274509803921,0.7285714285714286,0.7816725309256678,0.7682161209694442,1,1,3,1
0.8627450980392156,0.8714285714285714,0.1005333156299099,0.3098204936160477,0,1,4,1
0.7058823529411765,0.7142857142857143,0.5576135785257474,0.5882084930646794,1,0,1,1
0.4705882352941176,0.2285714285714285,0.3004713536480117,0.108577472875794,1,1,2,1
0.9215686274509804,0.5571428571428572,0.3936356192878799,0.3552216285480279,0,0,2,1
0.4509803921568628,0.1857142857142857,0.3812432229082299,0.1009720598266788,0,1,3,1
0.4901960784313726,0.4571428571428571,0.872181283055611,0.5155891688893302,0,0,2,1
0.7450980392156864,0.5857142857142857,0.8129854610635332,0.6324577308364957,0,0,2,1
0.2549019607843137,0.1142857142857142,0.3754896103033925,0.0517441201031919,0,0,3,12
0.8039215686274509,0.0428571428571428,0.1640443470756158,0.0,0,0,2,1
0.0392156862745098,0.5285714285714286,0.0803956715129788,0.1661980357020644,0,0,2,1
