Age,Tenure,MonthlyCharges,TotalCharges,OnlineSecurity,TechSupport,Churn,TotalServiceUsage,ContractLength
0.7450980392156864,0.17142857142857143,0.5137976056119853,0.11469843268084864,1,0,0,1,12
1.0,0.17142857142857143,0.9465356613335105,0.19775230644512967,0,0,0,3,24
0.5490196078431373,0.8428571428571429,1.0000000000000002,0.9999999999999999,0,0,0,3,1
0.27450980392156865,0.8,0.5832835424550222,0.6803072496904978,0,1,0,3,1
0.823529411764706,0.7285714285714286,0.05406182920622277,0.21723495199785878,1,1,0,3,24
0.13725490196078433,0.7428571428571429,0.5740998915665316,0.6249519239574366,1,0,0,3,1
0.3921568627450981,0.6,0.6009869658545222,0.5172985392915815,0,0,0,2,24
0.7450980392156864,0.5857142857142857,0.8129854610635332,0.6324577308364957,0,0,0,2,1
0.3529411764705882,0.35714285714285715,0.0,0.07150469900139994,1,1,0,2,1
0.43137254901960786,0.3142857142857143,0.4557082475823762,0.21191566120664196,0,0,0,3,24
0.1960784313725491,0.6,0.9608090464493573,0.7412710454181644,1,1,0,3,1
0.1960784313725491,0.3857142857142857,1.0000000000000002,0.5013374538156713,1,0,0,1,24
0.4509803921568628,0.11428571428571427,0.15154130429971902,0.019614704055609798,1,0,0,1,24
0.6862745098039217,0.2714285714285714,0.903051627608489,0.3076082727101264,0,0,0,4,24
0.7647058823529412,0.7857142857142857,0.10163977959237874,0.27651668869248264,0,0,0,1,1
0.4509803921568628,0.5428571428571429,0.8705215871119079,0.6173449043571915,1,1,0,1,12
0.03921568627450983,0.7142857142857143,0.24658655867578388,0.3570691623474539,1,0,0,4,24
0.4117647058823529,0.15714285714285714,1.0000000000000002,0.18753142815647933,0,0,0,3,12
0.019607843137254943,0.7714285714285715,0.7093097877802119,0.7564304618802367,0,1,0,1,12
0.4509803921568628,0.14285714285714285,0.38135386930447673,0.07106611054292752,1,0,0,3,24
0.8431372549019608,0.35714285714285715,0.25068047533691834,0.16617072433285554,1,0,0,2,12
0.5686274509803921,0.5857142857142857,0.20000442585584993,0.25872734803070563,1,1,0,3,24
0.7254901960784313,0.3714285714285714,0.6930447675319216,0.34485776720881334,1,0,0,3,1
0.019607843137254943,0.14285714285714285,0.9309345194627012,0.15506784947387056,0,1,1,1,1
0.3921568627450981,0.5285714285714286,0.7750337471508553,0.5464927864247714,0,0,0,2,1
0.6274509803921569,0.6,0.8634402177521079,0.6790541398091481,0,0,0,3,1
0.21568627450980393,0.2571428571428571,0.8043550421562771,0.26272444724198546,0,1,0,2,12
0.4117647058823529,0.9,1.0000000000000002,0.9999999999999999,0,0,0,2,1
0.8431372549019608,0.07142857142857142,0.7782424926420148,0.0591262225452461,0,0,1,3,24
0.47058823529411764,0.6428571428571429,0.17234282679413138,0.26935950340861947,1,0,0,3,1
0.5030496196232563,0.5857142857142857,0.8156409745734583,0.6348820164915686,1,1,0,3,1
0.5030496196232563,0.9142857142857143,0.2961561441943837,0.5118394785520604,0,0,0,2,1
0.8039215686274509,0.8285714285714286,1.0000000000000002,0.9999999999999999,1,0,0,3,1
0.5294117647058824,0.7285714285714286,0.35656907654517694,0.4460945866617056,1,1,0,4,1
0.2941176470588236,0.6571428571428571,1.0000000000000002,0.3381407769345526,0,1,0,2,1
0.27450980392156865,0.0857142857142857,0.20443028170572491,0.013678497630497735,1,0,0,2,12
0.9019607843137255,0.14285714285714285,0.6683706211688685,0.11608970595937287,0,0,1,1,1
0.9803921568627451,0.8571428571428572,0.06058996658478838,0.2710560214018315,1,0,0,3,1
0.8431372549019608,0.9571428571428572,0.9948881364933946,0.9999999999999999,0,0,0,1,12
1.0,0.34285714285714286,0.26539644603775253,0.16641331355347583,1,1,0,2,1
0.5030496196232563,0.15714285714285714,0.26661355639646817,0.05762731034101617,0,0,0,4,1
0.7058823529411765,0.35714285714285715,0.0,0.0668328483155472,1,0,0,3,1
0.9803921568627451,0.15714285714285714,0.21195423665051233,0.05168949736477416,0,0,0,3,1
0.11764705882352944,0.6,0.40337250215760473,0.39281653153965107,0,1,0,2,12
0.3921568627450981,0.7142857142857143,0.3487131824116489,0.9999999999999999,1,0,0,4,1
